mode,prompt_type,id_,sum,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10,score11,score12,score13,score14,score15,score16,score17,score18,reason1,reason2,reason3,reason4,reason5,reason6,reason7,reason8,reason9,reason10,reason11,reason12,reason13,reason14,reason15,reason16,reason17,reason18,comp_tok_sum,prompt_tok_sum
easy,simple,0,78,5,5,5,5,2,5,5,5,3,2,3,5,5,5,5,5,3,5,,,,,,,,,,,,,,,,,,,90,11255
easy,simple,1,72,5,5,2,5,2,5,5,5,4,2,3,5,5,5,1,5,3,5,,,,,,,,,,,,,,,,,,,90,11255
easy,simple,2,74,5,5,5,5,2,5,5,5,3,2,3,5,5,5,1,5,3,5,,,,,,,,,,,,,,,,,,,90,11255
easy,simple,3,74,5,5,5,5,2,5,5,5,3,2,3,5,5,5,1,5,3,5,,,,,,,,,,,,,,,,,,,90,11255
easy,simple,4,70,5,5,5,5,2,5,5,5,1,3,5,5,5,1,1,4,3,5,,,,,,,,,,,,,,,,,,,90,11255
easy,simple,5,71,5,5,5,5,2,5,5,5,1,4,5,5,5,1,1,4,3,5,,,,,,,,,,,,,,,,,,,90,11255
easy,simple,6,74,5,5,5,5,2,5,5,5,1,2,5,5,5,5,1,5,3,5,,,,,,,,,,,,,,,,,,,90,11255
easy,simple,7,74,5,5,5,5,2,5,5,5,1,2,5,5,5,5,1,5,3,5,,,,,,,,,,,,,,,,,,,90,11255
easy,simple,8,69,5,5,3,5,2,5,5,5,3,1,5,5,5,1,1,5,3,5,,,,,,,,,,,,,,,,,,,90,11255
easy,simple,9,73,5,5,3,5,2,5,5,5,3,1,5,5,5,5,1,5,3,5,,,,,,,,,,,,,,,,,,,90,11255
easy,simple,10,72,5,4,5,5,2,5,5,5,4,2,5,5,5,1,1,5,3,5,,,,,,,,,,,,,,,,,,,90,11255
easy,simple,11,70,5,4,5,5,2,5,5,5,4,1,4,5,5,1,1,5,3,5,,,,,,,,,,,,,,,,,,,90,11255
easy,simple,12,77,5,5,5,5,2,5,5,5,4,4,3,5,5,5,1,5,3,5,,,,,,,,,,,,,,,,,,,90,11273
easy,simple,13,77,5,5,3,5,4,5,5,5,4,4,3,5,5,5,1,5,3,5,,,,,,,,,,,,,,,,,,,90,11273
easy,simple,14,68,5,1,5,5,2,5,5,2,4,2,5,3,5,5,1,5,3,5,,,,,,,,,,,,,,,,,,,90,11273
easy,simple,15,64,5,1,5,5,2,5,5,1,4,2,4,1,5,5,1,5,3,5,,,,,,,,,,,,,,,,,,,90,11273
easy,simple,16,80,5,5,5,5,2,5,5,5,4,3,3,5,5,5,5,5,3,5,,,,,,,,,,,,,,,,,,,90,11264
easy,simple,17,80,5,5,5,5,2,5,5,5,4,3,3,5,5,5,5,5,3,5,,,,,,,,,,,,,,,,,,,90,11264
easy,simple,18,72,5,5,5,5,2,5,5,2,2,2,3,1,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,90,11264
easy,simple,19,72,5,5,5,5,2,5,5,2,2,2,3,1,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,90,11264
easy,simple,20,63,5,5,5,5,2,5,5,3,2,2,3,1,1,5,1,5,3,5,,,,,,,,,,,,,,,,,,,90,11300
easy,simple,21,65,5,5,5,5,2,5,5,3,2,2,3,1,3,5,1,5,3,5,,,,,,,,,,,,,,,,,,,90,11300
