mode,prompt_type,id_,score,blip_caption
easy,simple,0,0.7053889632225037,arafed man in a suit standing in a city street
easy,simple,1,0.7053889632225037,arafed man in a suit standing in a city street
easy,simple,2,0.6429915428161621,araffe woman standing on a skateboard in a parking lot
easy,simple,3,0.6429915428161621,araffe woman standing on a skateboard in a parking lot
easy,simple,4,0.5363594889640808,arafed woman riding a skateboard down a street next to a lush green field
easy,simple,5,0.5363594889640808,arafed woman riding a skateboard down a street next to a lush green field
easy,simple,6,0.7277726531028748,araffe man in a suit crossing a street in a city
easy,simple,7,0.7277726531028748,araffe man in a suit crossing a street in a city
easy,simple,8,0.8428637981414795,there is a man running on a street with a blurry background
easy,simple,9,0.8428637981414795,there is a man running on a street with a blurry background
easy,simple,10,0.7566896080970764,arafed woman running on a paved path in a park
easy,simple,11,0.7566896080970764,arafed woman running on a paved path in a park
easy,simple,12,0.624104380607605,someone is holding their hand out in the grass with a white shirt
easy,simple,13,0.624104380607605,someone is holding their hand out in the grass with a white shirt
easy,simple,14,0.5670152902603149,arafed man in a suit and tie making a stop sign
easy,simple,15,0.5670152902603149,arafed man in a suit and tie making a stop sign
easy,simple,16,0.6634745001792908,there is a man in a suit and tie standing in front of a group of men
easy,simple,17,0.6634745001792908,there is a man in a suit and tie standing in front of a group of men
easy,simple,18,0.36176860332489014,araffe woman in white shirt and jeans standing on a balcony
easy,simple,19,0.36176860332489014,araffe woman in white shirt and jeans standing on a balcony
easy,simple,20,0.5598406195640564,arafed woman in white shirt and blue jeans standing on a street
easy,simple,21,0.5598406195640564,arafed woman in white shirt and blue jeans standing on a street
easy,simple,22,0.4968588650226593,araffe man standing in front of a building with a blue shirt and blue pants
easy,simple,23,0.4968588650226593,araffe man standing in front of a building with a blue shirt and blue pants
easy,simple,24,0.7365051507949829,arafed man jumping in the air with a basketball ball in his hand
easy,simple,25,0.7365051507949829,arafed man jumping in the air with a basketball ball in his hand
easy,simple,26,0.664678692817688,arafed woman in white dress jumping in the air with tennis racket
easy,simple,27,0.664678692817688,arafed woman in white dress jumping in the air with tennis racket
easy,simple,28,0.7805367708206177,there is a woman holding a clock to her face with her hand
easy,simple,29,0.7805367708206177,there is a woman holding a clock to her face with her hand
easy,simple,30,0.7956975102424622,a close up of a person ' s wrist with a watch on it
easy,simple,31,0.7956975102424622,a close up of a person ' s wrist with a watch on it
easy,simple,32,0.3481292724609375,arafed man standing in front of a brick wall wearing a white shirt and blue pants
easy,simple,33,0.3481292724609375,arafed man standing in front of a brick wall wearing a white shirt and blue pants
easy,simple,34,0.6982825994491577,there is a woman with red hair wearing a necklace and jeans
easy,simple,35,0.6982825994491577,there is a woman with red hair wearing a necklace and jeans
easy,simple,36,0.6044936776161194,blonde woman sitting on the grass with her legs crossed
easy,simple,37,0.6044936776161194,blonde woman sitting on the grass with her legs crossed
easy,simple,38,0.6558263301849365,there is a man in a suit and tie sitting on a crosswalk
easy,simple,39,0.6558263301849365,there is a man in a suit and tie sitting on a crosswalk
easy,simple,40,0.7474455237388611,there is a man squatting on a tennis court with a racket
easy,simple,41,0.7474455237388611,there is a man squatting on a tennis court with a racket
easy,simple,42,0.6168110370635986,blonde woman squatting on a tennis court with a tennis racket
easy,simple,43,0.6168110370635986,blonde woman squatting on a tennis court with a tennis racket
easy,simple,44,0.6742097735404968,there is a woman with long blonde hair and a blue shirt
easy,simple,45,0.6742097735404968,there is a woman with long blonde hair and a blue shirt
easy,simple,46,0.7521911859512329,there are two men boxing in a ring with a crowd watching
easy,simple,47,0.7521911859512329,there are two men boxing in a ring with a crowd watching
easy,simple,48,0.7274300456047058,there is a man with a beard and a tie making a face
easy,simple,49,0.7274300456047058,there is a man with a beard and a tie making a face
easy,simple,50,0.5135063529014587,smiling woman with long blonde hair and bright red lipstick
easy,simple,51,0.5135063529014587,smiling woman with long blonde hair and bright red lipstick
easy,action+layout,0,0.49173063039779663,arafed man in a white shirt and blue pants standing in front of a building
easy,action+layout,1,0.6033542156219482,arafed basketball player standing on a court with a basketball in his hand
easy,action+layout,2,0.5238897204399109,arafed woman in white shirt and jeans standing on grass
easy,action+layout,3,0.39805275201797485,arafed woman in white shirt and jeans standing in front of a green wall
easy,action+layout,4,0.7056095600128174,arafed woman walking on a paved road with a skateboard
easy,action+layout,5,0.6108734011650085,arafed woman riding a skateboard down a street past a hedge
easy,action+layout,6,0.6091049313545227,people walking on a sidewalk next to a row of benches
easy,action+layout,7,0.6182841062545776,araffe walking in a city with tall buildings in the background
easy,action+layout,8,0.7572339177131653,there is a man running on a tennis court with a tennis racket
