mode,prompt_type,id_,score,reason,comp_tok_sum,prompt_tok_sum
easy,simple,0,8,,6,648
easy,simple,1,8,,6,648
easy,simple,2,8,,6,648
easy,simple,3,8,,6,648
easy,simple,4,8,,6,648
easy,simple,5,8,,6,648
easy,simple,6,7,,6,648
easy,simple,7,7,,6,648
easy,simple,8,5,,6,648
easy,simple,9,5,,6,648
easy,simple,10,5,,6,648
easy,simple,11,5,,6,648
easy,simple,12,8,,6,650
easy,simple,13,7,,6,650
easy,simple,14,8,,6,650
easy,simple,15,8,,6,650
easy,simple,16,8,,6,649
easy,simple,17,8,,6,649
easy,simple,18,7,,6,649
easy,simple,19,7,,6,649
easy,simple,20,8,,6,653
easy,simple,21,8,,6,653
easy,simple,22,5,,6,653
easy,simple,23,4,,6,653
easy,simple,24,6,,6,649
easy,simple,25,6,,6,649
easy,simple,26,3,,6,649
easy,simple,27,4,,6,649
easy,simple,28,3,,6,654
easy,simple,29,3,,6,654
easy,simple,30,3,,6,654
easy,simple,31,3,,6,654
easy,simple,32,3,,6,655
easy,simple,33,3,,6,655
easy,simple,34,4,,6,655
easy,simple,35,4,,6,655
easy,simple,36,7,,6,652
easy,simple,37,8,,6,652
easy,simple,38,8,,6,652
easy,simple,39,7,,6,652
easy,simple,40,7,,6,650
easy,simple,41,7,,6,650
easy,simple,42,7,,6,650
easy,simple,43,7,,6,650
easy,simple,44,4,,6,648
easy,simple,45,4,,6,648
easy,simple,46,2,,6,648
easy,simple,47,2,,6,648
easy,simple,48,7,,6,651
easy,simple,49,7,,6,651
easy,simple,50,4,,6,651
easy,simple,51,5,,6,651
easy,action+layout,0,8,,6,649
easy,action+layout,1,6,,6,649
easy,action+layout,2,7,,6,650
easy,action+layout,3,7,,6,650
easy,action+layout,4,8,,6,649
easy,action+layout,5,6,,6,649
easy,action+layout,6,8,,6,650
easy,action+layout,7,6,,6,650
easy,action+layout,8,3,,6,649
easy,action+layout,9,3,,6,649
easy,action+layout,10,7,,6,650
easy,action+layout,11,6,,6,650
easy,action+layout,12,7,,6,651
easy,action+layout,13,6,,6,651
easy,action+layout,14,7,,6,652
easy,action+layout,15,6,,6,652
easy,action+layout,16,6,,6,650
easy,action+layout,17,3,,6,650
easy,action+layout,18,8,,6,651
easy,action+layout,19,5,,6,651
easy,action+layout,20,7,,6,654
easy,action+layout,21,5,,6,654
easy,action+layout,22,6,,6,655
easy,action+layout,23,6,,6,655
easy,action+layout,24,3,,6,650
easy,action+layout,25,3,,6,650
easy,action+layout,26,8,,6,651
easy,action+layout,27,7,,6,651
easy,action+layout,28,6,,6,655
easy,action+layout,29,5,,6,655
easy,action+layout,30,6,,6,656
easy,action+layout,31,5,,6,656
easy,action+layout,32,3,,6,656
easy,action+layout,33,4,,6,656
easy,action+layout,34,3,,6,657
easy,action+layout,35,3,,6,657
easy,action+layout,36,8,,6,653
easy,action+layout,37,7,,6,653
easy,action+layout,38,7,,6,654
easy,action+layout,39,7,,6,654
easy,action+layout,40,7,,6,651
easy,action+layout,41,7,,6,651
easy,action+layout,42,6,,6,652
easy,action+layout,43,7,,6,652
easy,action+layout,44,5,,6,649
easy,action+layout,45,4,,6,649
easy,action+layout,46,7,,6,650
easy,action+layout,47,2,,6,650
easy,action+layout,48,5,,6,652
easy,action+layout,49,3,,6,652
easy,action+layout,50,5,,6,653
easy,action+layout,51,5,,6,653
easy,action+expression,0,8,,6,653
easy,action+expression,1,6,,6,651
easy,action+expression,2,3,,6,651
easy,action+expression,3,8,,6,650
easy,action+expression,4,6,,6,653
easy,action+expression,5,8,,6,652
easy,action+expression,6,3,,6,658
easy,action+expression,7,8,,6,654
easy,action+expression,8,3,,6,658
easy,action+expression,9,6,,6,656
easy,action+expression,10,3,,6,651
easy,action+expression,11,5,,6,656
easy,action+expression,12,7,,6,657
easy,action+expression,13,8,,6,658
easy,action+expression,14,6,,6,655
easy,action+expression,15,6,,6,657
easy,action+expression,16,8,,6,656
easy,action+expression,17,7,,6,655
easy,action+expression,18,4,,6,652
easy,action+expression,19,6,,6,658
easy,action+expression,20,7,,6,656
easy,action+expression,21,5,,6,658
easy,action+expression,22,7,,6,658
easy,action+expression,23,3,,6,656
easy,action+expression,24,2,,6,656
easy,action+expression,25,4,,6,658
easy,action+expression,26,4,,6,655
easy,action+expression,27,3,,6,654
easy,action+expression,28,3,,6,657
easy,action+expression,29,2,,6,657
easy,action+expression,30,3,,6,657
easy,action+expression,31,4,,6,659
easy,action+expression,32,3,,6,658
easy,action+expression,33,6,,6,658
easy,action+expression,34,2,,6,659
easy,action+expression,35,3,,6,658
easy,action+expression,36,5,,6,655
easy,action+expression,37,6,,6,657
easy,action+expression,38,5,,6,658
easy,action+expression,39,7,,6,657
easy,action+expression,40,6,,6,653
easy,action+expression,41,7,,6,654
easy,action+expression,42,6,,6,655
easy,action+expression,43,6,,6,654
easy,action+expression,44,4,,6,651
easy,action+expression,45,6,,6,652
easy,action+expression,46,3,,6,652
easy,action+expression,47,2,,6,652
easy,action+expression,48,4,,6,654
easy,action+expression,49,3,,6,656
easy,action+expression,50,4,,6,655
easy,action+expression,51,7,,6,658
easy,action+background,0,7,,6,654
easy,action+background,1,7,,6,654
easy,action+background,2,8,,6,655
easy,action+background,3,6,,6,653
easy,action+background,4,8,,6,654
easy,action+background,5,7,,6,653
easy,action+background,6,6,,6,653
easy,action+background,7,6,,6,653
easy,action+background,8,4,,6,653
easy,action+background,9,3,,6,654
easy,action+background,10,6,,6,654
easy,action+background,11,5,,6,654
easy,action+background,12,8,,6,656
easy,action+background,13,8,,6,655
easy,action+background,14,6,,6,658
easy,action+background,15,8,,6,656
easy,action+background,16,5,,6,655
easy,action+background,17,4,,6,655
easy,action+background,18,8,,6,654
easy,action+background,19,7,,6,655
easy,action+background,20,8,,6,659
easy,action+background,21,7,,6,660
easy,action+background,22,6,,6,658
easy,action+background,23,7,,6,659
easy,action+background,24,6,,6,654
easy,action+background,25,3,,6,654
easy,action+background,26,5,,6,654
easy,action+background,27,3,,6,654
easy,action+background,28,6,,6,660
easy,action+background,29,6,,6,660
easy,action+background,30,5,,6,659
easy,action+background,31,6,,6,662
easy,action+background,32,4,,6,661
easy,action+background,33,6,,6,661
easy,action+background,34,4,,6,661
easy,action+background,35,6,,6,661
easy,action+background,36,7,,6,658
easy,action+background,37,8,,6,657
easy,action+background,38,8,,6,658
easy,action+background,39,8,,6,658
easy,action+background,40,8,,6,657
easy,action+background,41,6,,6,655
easy,action+background,42,7,,6,656
easy,action+background,43,8,,6,655
easy,action+background,44,5,,6,653
easy,action+background,45,5,,6,653
easy,action+background,46,4,,6,652
easy,action+background,47,3,,6,653
easy,action+background,48,4,,6,657
easy,action+background,49,5,,6,657
easy,action+background,50,7,,6,656
easy,action+background,51,4,,6,659
easy,all,0,8,,6,660
easy,all,1,5,,6,658
easy,all,2,5,,6,660
easy,all,3,6,,6,657
easy,all,4,6,,6,660
easy,all,5,6,,6,658
easy,all,6,3,,6,665
easy,all,7,7,,6,661
easy,all,8,4,,6,664
easy,all,9,3,,6,663
