mode;prompt_type;id;prompt;p1_sex;p2_sex;p1_prompt;p2_prompt
easy;all;0;A close shot of <|man_1|> standing, with a big smile, in a cozy living room, Ultra HD quality.;man;;A close shot of <|man_1|> standing, with a big smile.;
easy;all;1;A long shot of <|man_1|> standing, looking nervous, in a modern living room, Ultra HD quality.;man;;A long shot of <|man_1|> standing, looking nervous.;
easy;all;2;A high angle shot of <|woman_1|> standing, looking sad, in a stone-paved alley, Ultra HD quality.;woman;;A high angle shot of <|woman_1|> standing, looking sad.;
easy;all;3;A low angle shot of <|woman_1|> standing, gracefully, in an open square, Ultra HD quality.;woman;;A low angle shot of <|woman_1|> standing, gracefully.;
easy;all;4;A close shot of <|woman_1|> walking, looking deep in thought, in an open green park, Ultra HD quality.;woman;;A close shot of <|woman_1|> walking, looking deep in thought.;
easy;all;5;A long shot of <|woman_1|> walking, swinging arms happily, in a dense forest, Ultra HD quality.;woman;;A long shot of <|woman_1|> walking, swinging arms happily.;
easy;all;6;A high angle shot of <|man_1|> walking, with a heavy heart, his eyes looking down, on a serene beach, Ultra HD quality.;man;;A high angle shot of <|man_1|> walking, with a heavy heart, his eyes looking down.;
easy;all;7;A low angle shot of <|man_1|> walking, with excitement, smiling brightly, in a remote valley, Ultra HD quality.;man;;A low angle shot of <|man_1|> walking, with excitement, smiling brightly.;
easy;all;8;A close shot of <|man_1|> running, with a big smile, enjoying the fresh air, on a tropical beach, Ultra HD quality.;man;;A close shot of <|man_1|> running, with a big smile, enjoying the fresh air.;
easy;all;9;A long shot of <|man_1|> running, excitedly, swinging arms with joy, in a European town square, Ultra HD quality.;man;;A long shot of <|man_1|> running, excitedly, swinging arms with joy.;
easy;all;10;A high angle shot of <|woman_1|> running, looking determined, on a quiet city street, Ultra HD quality.;woman;;A high angle shot of <|woman_1|> running, looking determined.;
easy;all;11;A low angle shot of <|woman_1|> running, with fear, looking over her shoulder, on a steep city street, Ultra HD quality.;woman;;A low angle shot of <|woman_1|> running, with fear, looking over her shoulder.;
easy;all;12;A close shot of <|woman_1|> waving her hand, with a big, friendly smile, in a modern conference room, Ultra HD quality.;woman;;A close shot of <|woman_1|> waving her hand, with a big, friendly smile.;
easy;all;13;A long shot of <|woman_1|> waving her hand, excitedly, eyes full of joy, in a modern office, Ultra HD quality.;woman;;A long shot of <|woman_1|> waving her hand, excitedly, eyes full of joy.;
