mode,prompt_type,id_,score
easy,simple,0,0.2677503228187561
easy,simple,1,0.2677503228187561
easy,simple,2,0.2589417099952698
easy,simple,3,0.2589417099952698
easy,simple,4,0.30143582820892334
easy,simple,5,0.30143582820892334
easy,simple,6,0.2955361306667328
easy,simple,7,0.2955361306667328
easy,simple,8,0.2842029929161072
easy,simple,9,0.2842029929161072
easy,simple,10,0.28393030166625977
easy,simple,11,0.28393030166625977
easy,simple,12,0.28118813037872314
easy,simple,13,0.28118813037872314
easy,simple,14,0.25653794407844543
easy,simple,15,0.25653794407844543
easy,simple,16,0.2770404815673828
easy,simple,17,0.2770404815673828
easy,simple,18,0.2781885266304016
easy,simple,19,0.2781885266304016
easy,simple,20,0.269458144903183
easy,simple,21,0.269458144903183
easy,simple,22,0.26086416840553284
easy,simple,23,0.26086416840553284
easy,simple,24,0.28978365659713745
easy,simple,25,0.28978365659713745
easy,simple,26,0.2996063232421875
easy,simple,27,0.2996063232421875
easy,simple,28,0.2932592034339905
easy,simple,29,0.2932592034339905
easy,simple,30,0.30065834522247314
easy,simple,31,0.30065834522247314
easy,simple,32,0.2551578879356384
easy,simple,33,0.2551578879356384
easy,simple,34,0.27973538637161255
easy,simple,35,0.27973538637161255
easy,simple,36,0.29538583755493164
easy,simple,37,0.29538583755493164
easy,simple,38,0.24433736503124237
easy,simple,39,0.24433736503124237
easy,simple,40,0.258380651473999
easy,simple,41,0.258380651473999
easy,simple,42,0.32596373558044434
easy,simple,43,0.32596373558044434
easy,simple,44,0.3020249605178833
easy,simple,45,0.3020249605178833
easy,simple,46,0.2904174327850342
easy,simple,47,0.2904174327850342
easy,simple,48,0.25928670167922974
easy,simple,49,0.25928670167922974
easy,simple,50,0.2544785737991333
easy,simple,51,0.2544785737991333
easy,action+layout,0,0.23089903593063354
easy,action+layout,1,0.26150792837142944
easy,action+layout,2,0.2828845977783203
easy,action+layout,3,0.2486526072025299
easy,action+layout,4,0.2669873535633087
easy,action+layout,5,0.2839108109474182
easy,action+layout,6,0.32038813829421997
easy,action+layout,7,0.26669883728027344
easy,action+layout,8,0.28554660081863403
easy,action+layout,9,0.2728687822818756
easy,action+layout,10,0.2974000573158264
easy,action+layout,11,0.28181400895118713
easy,action+layout,12,0.2640586197376251
easy,action+layout,13,0.2662495970726013
easy,action+layout,14,0.2761836051940918
easy,action+layout,15,0.28196191787719727
easy,action+layout,16,0.26791912317276
easy,action+layout,17,0.26589521765708923
easy,action+layout,18,0.2581028938293457
easy,action+layout,19,0.2623569965362549
easy,action+layout,20,0.2639417350292206
easy,action+layout,21,0.2722233235836029
easy,action+layout,22,0.26301100850105286
easy,action+layout,23,0.2270183265209198
easy,action+layout,24,0.2856757640838623
easy,action+layout,25,0.28586190938949585
easy,action+layout,26,0.2979118227958679
easy,action+layout,27,0.2909665107727051
easy,action+layout,28,0.2948707044124603
easy,action+layout,29,0.326949805021286
easy,action+layout,30,0.28818464279174805
easy,action+layout,31,0.30043578147888184
