mode,prompt_type,id_,score,reason,comp_tok_sum,prompt_tok_sum
easy,simple,6,7,,5,652
easy,action+layout,37,7,,5,657
easy,action+expression,4,7,,5,657
easy,action+background,19,7,,5,659
easy,all,30,7,,5,668
easy,simple,42,7,,5,654
easy,action+layout,27,8,,5,655
easy,action+expression,0,8,,5,657
easy,action+background,8,7,,5,657
easy,all,38,7,,5,670
easy,simple,49,5,,5,655
easy,action+layout,34,4,,5,661
easy,action+expression,23,8,,5,660
easy,action+background,5,8,,5,657
easy,all,28,8,,5,668
easy,simple,9,7,,5,652
easy,action+layout,3,8,,5,654
easy,action+expression,16,8,,5,660
easy,action+background,50,6,,5,660
easy,all,2,7,,5,664
easy,simple,51,3,,5,655
easy,action+layout,32,8,,5,660
easy,action+expression,18,7,,5,656
easy,action+background,7,6,,5,657
easy,all,36,7,,5,666
easy,simple,33,6,,5,659
easy,action+layout,21,7,,5,658
easy,action+expression,44,8,,5,655
easy,action+background,1,8,,5,658
easy,all,47,7,,5,663
easy,simple,15,7,,5,654
easy,action+layout,22,7,,5,659
easy,action+expression,45,8,,5,656
easy,action+background,43,8,,5,659
easy,all,17,7,,5,666
easy,simple,24,8,,5,653
easy,action+layout,41,6,,5,655
easy,action+expression,29,7,,5,661
easy,action+background,11,8,,5,658
easy,all,14,7,,5,669
medium,simple,37,8,,5,914
medium,action+layout,49,5,,5,929
medium,action+expression,29,8,,5,920
medium,action+background,48,6,,5,919
medium,all,20,8,,5,937
medium,simple,25,7,,5,911
medium,action+layout,18,7,,5,927
medium,action+expression,22,7,,5,925
medium,action+background,33,6,,5,923
medium,all,11,7,,5,934
medium,simple,43,7,,5,912
medium,action+layout,7,6,,5,924
medium,action+expression,9,8,,5,920
medium,action+background,46,7,,5,919
medium,all,16,7,,5,928
medium,simple,23,8,,5,915
medium,action+layout,47,6,,5,921
medium,action+expression,4,8,,5,924
medium,action+background,30,8,,5,921
medium,all,1,7,,5,933
medium,simple,39,7,,5,914
medium,action+layout,14,6,,5,918
medium,action+expression,32,7,,5,920
medium,action+background,31,7,,5,924
medium,all,27,7,,5,929
medium,simple,12,7,,5,912
medium,action+layout,19,5,,5,920
medium,action+expression,45,8,,5,919
medium,action+background,44,7,,5,920
medium,all,13,8,,5,937
medium,simple,28,7,,5,916
medium,action+layout,0,7,,5,921
medium,action+expression,38,7,,5,925
medium,action+background,15,8,,5,918
medium,all,36,7,,5,940
medium,simple,42,7,,5,912
medium,action+layout,40,6,,5,922
medium,action+expression,8,7,,5,915
medium,action+background,10,7,,5,916
medium,all,51,7,,5,942
hard,simple,77,6,,5,913
hard,action+layout,21,7,,5,919
hard,action+expression,28,6,,5,922
hard,action+background,87,8,,5,918
hard,all,32,7,,5,931
hard,simple,58,7,,5,915
hard,action+layout,42,7,,5,918
hard,action+expression,16,7,,5,921
hard,action+background,11,5,,5,915
hard,all,72,3,,5,937
hard,simple,89,7,,5,914
hard,action+layout,51,7,,5,921
hard,action+expression,50,7,,5,922
hard,action+background,15,6,,5,919
hard,all,17,6,,5,932
hard,simple,47,6,,5,910
hard,action+layout,26,7,,5,923
hard,action+expression,13,8,,5,917
hard,action+background,63,8,,5,918
hard,all,71,8,,5,944
hard,simple,40,8,,5,913
hard,action+layout,59,6,,5,926
hard,action+expression,84,4,,5,922
hard,action+background,24,7,,5,917
hard,all,25,7,,5,933
hard,simple,1,3,,5,909
hard,action+layout,45,7,,5,920
hard,action+expression,69,7,,5,924
hard,action+background,34,7,,5,917
hard,all,82,7,,5,928
hard,simple,20,8,,5,909
hard,action+layout,30,7,,5,922
hard,action+expression,4,5,,5,919
hard,action+background,91,8,,5,920
hard,all,88,7,,5,942
hard,simple,79,5,,5,913
hard,action+layout,70,6,,5,922
hard,action+expression,8,7,,5,919
hard,action+background,6,4,,5,914
hard,all,81,8,,5,934
