mode;id_;num;head;person1_sex;person2_sex;action;layout;expression;surroundings;person1_action;person2_action;person1_expression;person2_expression;
easy;0;1;A close shot of;man;;{0} standing;;with a big smile;cozy_living_room;{0} standing;;with a big smile;;
easy;1;1;A long shot of;man;;{0} standing;;looking nervous;modern_living_room;{0} standing;;looking nervous;;
easy;2;1;A high angle shot of;woman;;{0} standing;;looking sad;stone-paved_alley;{0} standing;;looking sad;;
easy;3;1;A low angle shot of;woman;;{0} standing;;gracefully;open_square;{0} standing;;gracefully;;
easy;4;1;A close shot of;woman;;{0} walking;;looking deep in thought;open_green_park;{0} walking;;looking deep in thought;;
easy;5;1;A long shot of;woman;;{0} walking;;swinging arms happily;dense_forest;{0} walking;;swinging arms happily;;
easy;6;1;A high angle shot of;man;;{0} walking;;with a heavy heart, his eyes looking down;serene_beach;{0} walking;;with a heavy heart, his eyes looking down;;
easy;7;1;A low angle shot of;man;;{0} walking;;with excitement, smiling brightly;remote_valley;{0} walking;;with excitement, smiling brightly;;
easy;8;1;A close shot of;man;;{0} running;;with a big smile, enjoying the fresh air;tropical_beach;{0} running;;with a big smile, enjoying the fresh air;;
easy;9;1;A long shot of;man;;{0} running;;excitedly, swinging arms with joy;town_square;{0} running;;excitedly, swinging arms with joy;;
easy;10;1;A high angle shot of;woman;;{0} running;;looking determined;city_street;{0} running;;looking determined;;
easy;11;1;A low angle shot of;woman;;{0} running;;with fear, looking over her shoulder;steep_city_street;{0} running;;with fear, looking over her shoulder;;
easy;12;1;A close shot of;woman;;{0} waving her hand;;with a big, friendly smile;conference_room;{0} waving her hand;;with a big, friendly smile;;
easy;13;1;A long shot of;woman;;{0} waving her hand;;excitedly, eyes full of joy;modern_office;{0} waving her hand;;excitedly, eyes full of joy;;
easy;14;1;A high angle shot of;man;;{0} waving his hand;;gently, looking nostalgic;rustic_café;{0} waving his hand;;gently, looking nostalgic;;
easy;15;1;A low angle shot of;man;;{0} waving his hand;;hesitantly, looking unsure;rose_garden;{0} waving his hand;;hesitantly, looking unsure;;
easy;16;1;A close shot of;man;;{0} clapping;;enthusiastically, cheering for someone;sunlit_pasture;{0} clapping;;enthusiastically, cheering for someone;;
easy;17;1;A long shot of;man;;{0} clapping;;with delight, eyes shining;basketball_court;{0} clapping;;with delight, eyes shining;;
easy;18;1;A high angle shot of;woman;;{0} clapping;;looking thoughtful;reading_room;{0} clapping;;looking thoughtful;;
easy;19;1;A low angle shot of;woman;;{0} clapping;;with a smirk, looking unimpressed;cozy_living_room;{0} clapping;;with a smirk, looking unimpressed;;
easy;20;1;A close shot of;woman;;{0} putting her hands in her pockets;;looking cool;modern_living_room;{0} putting her hands in her pockets;;looking cool;;
easy;21;1;A long shot of;woman;;{0} putting her hands in her pockets;;shoulders slightly slouched;stone-paved_alley;{0} putting her hands in her pockets;;shoulders slightly slouched;;
easy;22;1;A high angle shot of;man;;{0} putting his hands in his pockets;;with a confident smile;open_square;{0} putting his hands in his pockets;;with a confident smile;;
easy;23;1;A low angle shot of;man;;{0} putting his hands in his pockets;;looking cold;open_green_park;{0} putting his hands in his pockets;;looking cold;;
easy;24;1;A close shot of;man;;{0} jumping up;;with excitement, arms raised high;dense_forest;{0} jumping up;;with excitement, arms raised high;;
easy;25;1;A long shot of;man;;{0} jumping up;;in joy, her face full of happiness;serene_beach;{0} jumping up;;in joy, her face full of happiness;;
easy;26;1;A high angle shot of;woman;;{0} jumping up;;with surprise, mouth open;remote_valley;{0} jumping up;;with surprise, mouth open;;
easy;27;1;A low angle shot of;woman;;{0} jumping up;;with power and determination;tropical_beach;{0} jumping up;;with power and determination;;
easy;28;1;A close shot of;woman;;{0} checking the time on her wristwatch;;looking impatient;conference_room;{0} checking the time on her wristwatch;;looking impatient;;
easy;29;1;A long shot of;woman;;{0} checking the time on her wristwatch;;looking serious;town_square;{0} checking the time on her wristwatch;;looking serious;;
easy;30;1;A high angle shot of;man;;{0} checking the time on his wristwatch;;looking surprised;modern_office;{0} checking the time on his wristwatch;;looking surprised;;
easy;31;1;A low angle shot of;man;;{0} checking the time on his wristwatch;;looking deep in thought;rustic_café;{0} checking the time on his wristwatch;;looking deep in thought;;
easy;32;1;A close shot of;man;;{0} crossing his hands in front of his chest;;looking defensive;city_street;{0} crossing his hands in front of his chest;;looking defensive;;
easy;33;1;A long shot of;man;;{0} crossing his hands in front of his chest;;smiling confidently;steep_city_street;{0} crossing his hands in front of his chest;;smiling confidently;;
easy;34;1;A high angle shot of;woman;;{0} crossing her hands in front of her chest;;looking grumpy;rose_garden;{0} crossing her hands in front of her chest;;looking grumpy;;
easy;35;1;A low angle shot of;woman;;{0} crossing her hands in front of her chest;;looking strict;sunlit_pasture;{0} crossing her hands in front of her chest;;looking strict;;
easy;36;1;A close shot of;woman;;{0} kneeling on the ground;;looking tired;basketball_court;{0} kneeling on the ground;;looking tired;;
easy;37;1;A long shot of;woman;;{0} kneeling on the ground;;playing with a toy;reading_room;{0} kneeling on the ground;;playing with a toy;;
easy;38;1;A high angle shot of;man;;{0} kneeling on the ground;;tying his shoelace;cozy_living_room;{0} kneeling on the ground;;tying his shoelace;;
easy;39;1;A low angle shot of;man;;{0} kneeling on the ground;;looking at something closely;modern_living_room;{0} kneeling on the ground;;looking at something closely;;
easy;40;1;A close shot of;man;;{0} squatting down;;looking tired;stone-paved_alley;{0} squatting down;;looking tired;;
easy;41;1;A long shot of;man;;{0} squatting down;;organizing her belongings;open_square;{0} squatting down;;organizing her belongings;;
easy;42;1;A high angle shot of;woman;;{0} squatting down;;picking up a flower;open_green_park;{0} squatting down;;picking up a flower;;
easy;43;1;A low angle shot of;woman;;{0} squatting down;;resting after exercise;dense_forest;{0} squatting down;;resting after exercise;;
easy;44;1;A close shot of;woman;;{0} punching;;looking fierce;serene_beach;{0} punching;;looking fierce;;
easy;45;1;A long shot of;woman;;{0} punching;;pretending to fight;remote_valley;{0} punching;;pretending to fight;;
easy;46;1;A high angle shot of;man;;{0} punching;;smiling playfully;boat;{0} punching;;smiling playfully;;
easy;47;1;A low angle shot of;man;;{0} punching;;full of energy;tropical_beach;{0} punching;;full of energy;;
easy;48;1;A close shot of;man;;{0} shrugging his shoulders;;looking confused;conference_room;{0} shrugging his shoulders;;looking confused;;
easy;49;1;A long shot of;man;;{0} shrugging his shoulders;;pretending not to know;town_square;{0} shrugging his shoulders;;pretending not to know;;
easy;50;1;A high angle shot of;woman;;{0} shrugging her shoulders;;looking uninterested;modern_office;{0} shrugging her shoulders;;looking uninterested;;
easy;51;1;A low angle shot of;woman;;{0} shrugging her shoulders;;with a smile, looking playful;rustic_café;{0} shrugging her shoulders;;with a smile, looking playful;;
medium;0;2;A close shot of;woman;man;{0} and {1} standing;standing side by side, facing the same direction;{0} with a neutral face, {1} with a small smile;cozy_living_room;{0} standing;{1} standing;with a neutral face;with a small smile;
medium;1;2;A long shot of;woman;man;{0} and {1} standing;{0} is standing to the right of {1};both with calm expressions;modern_living_room;{0} standing;{1} standing;with calm expressions;with calm expressions;
medium;2;2;A high angle shot of;man;woman;{0} and {1} standing;{0} is standing slightly ahead of {1};{0} looking focused while {1} looks slightly nervous;stone-paved_alley;{0} standing;{1} standing;looking focused;looks slightly nervous;
medium;3;2;A low angle shot of;man;woman;{0} and {1} standing;{0} is standing diagonally in front of {1};{0} having a serious expression while {1} looks hesitant;open_square;{0} standing;{1} standing;having a serious expression;looks hesitant;
medium;4;2;A close shot of;man;woman;{0} and {1} walking;with a bit of space between them;{0} with a friendly smile, {1} with a shy expression;open_green_park;{0} walking;{1} walking;with a friendly smile;with a shy expression;
medium;5;2;A long shot of;man;woman;{0} and {1} walking;walking apart from each other;{0} looking disappointed while {1} looks deep in thought;dense_forest;{0} walking;{1} walking;looking disappointed;looks deep in thought;
