mode,prompt_type,id_,score,reason,comp_tok_sum,prompt_tok_sum
easy,simple,6,8,,5,652
easy,action+layout,37,6,,5,657
easy,action+expression,4,8,,5,657
easy,action+background,19,8,,5,659
easy,all,30,1,,5,668
easy,simple,42,7,,5,654
easy,action+layout,27,7,,5,655
easy,action+expression,0,8,,5,657
easy,action+background,8,6,,5,657
easy,all,38,6,,5,670
easy,simple,49,3,,5,655
easy,action+layout,34,4,,5,661
easy,action+expression,23,7,,5,660
easy,action+background,5,7,,5,657
easy,all,28,3,,5,668
easy,simple,9,7,,5,652
easy,action+layout,3,7,,5,654
easy,action+expression,16,5,,5,660
easy,action+background,50,7,,5,660
easy,all,2,4,,5,664
easy,simple,51,6,,5,655
easy,action+layout,32,7,,5,660
easy,action+expression,18,6,,5,656
easy,action+background,7,7,,5,657
easy,all,36,7,,5,666
easy,simple,33,7,,5,659
easy,action+layout,21,3,,5,658
easy,action+expression,44,4,,5,655
easy,action+background,1,7,,5,658
easy,all,47,6,,5,663
easy,simple,15,7,,5,654
easy,action+layout,22,8,,5,659
easy,action+expression,45,8,,5,656
easy,action+background,43,7,,5,659
easy,all,17,5,,5,666
easy,simple,24,7,,5,653
easy,action+layout,41,7,,5,655
easy,action+expression,29,8,,5,661
easy,action+background,11,6,,5,658
easy,all,14,2,,5,669
medium,simple,37,3,,5,914
medium,action+layout,49,5,,5,929
medium,action+expression,29,6,,5,920
medium,action+background,48,4,,5,919
medium,all,20,6,,5,937
medium,simple,25,3,,5,911
medium,action+layout,18,6,,5,927
medium,action+expression,22,4,,5,925
medium,action+background,33,4,,5,923
medium,all,11,6,,5,934
medium,simple,43,7,,5,912
medium,action+layout,7,6,,5,924
medium,action+expression,9,6,,5,920
medium,action+background,46,6,,5,919
medium,all,16,6,,5,928
medium,simple,23,6,,5,915
medium,action+layout,47,3,,5,921
medium,action+expression,4,7,,5,924
medium,action+background,30,2,,5,921
medium,all,1,6,,5,933
medium,simple,39,6,,5,914
medium,action+layout,14,8,,5,918
medium,action+expression,32,4,,5,920
medium,action+background,31,7,,5,924
medium,all,27,7,,5,929
medium,simple,12,6,,5,912
medium,action+layout,19,3,,5,920
medium,action+expression,45,5,,5,919
medium,action+background,44,7,,5,920
medium,all,13,5,,5,937
medium,simple,28,5,,5,916
medium,action+layout,0,4,,5,921
medium,action+expression,38,6,,5,925
medium,action+background,15,7,,5,918
medium,all,36,2,,5,940
medium,simple,42,8,,5,912
medium,action+layout,40,5,,5,922
medium,action+expression,8,4,,5,915
medium,action+background,10,4,,5,916
medium,all,51,6,,5,942
hard,simple,77,6,,5,913
hard,action+layout,21,6,,5,919
hard,action+expression,28,6,,5,922
hard,action+background,87,7,,5,918
hard,all,32,8,,5,931
hard,simple,58,6,,5,915
hard,action+layout,42,7,,5,918
hard,action+expression,16,4,,5,921
hard,action+background,11,4,,5,915
hard,all,72,4,,5,937
hard,simple,89,6,,5,914
hard,action+layout,51,3,,5,921
hard,action+expression,50,6,,5,922
hard,action+background,15,4,,5,919
hard,all,17,5,,5,932
hard,simple,47,6,,5,910
hard,action+layout,26,6,,5,923
hard,action+expression,13,7,,5,917
hard,action+background,63,4,,5,918
hard,all,71,6,,5,944
hard,simple,40,7,,5,913
hard,action+layout,59,4,,5,926
hard,action+expression,84,3,,5,922
hard,action+background,24,4,,5,917
hard,all,25,7,,5,933
hard,simple,1,1,,5,909
hard,action+layout,45,4,,5,920
hard,action+expression,69,6,,5,924
hard,action+background,34,6,,5,917
hard,all,82,6,,5,928
hard,simple,20,7,,5,909
hard,action+layout,30,7,,5,922
hard,action+expression,4,6,,5,919
hard,action+background,91,6,,5,920
hard,all,88,5,,5,942
hard,simple,79,6,,5,913
hard,action+layout,70,4,,5,922
hard,action+expression,8,5,,5,919
hard,action+background,6,4,,5,914
hard,all,81,6,,5,934
