mode,prompt_type,id_,score
easy,simple,0,6.000345230102539
easy,simple,1,6.000345230102539
easy,simple,2,5.925358772277832
easy,simple,3,5.925358772277832
easy,simple,4,6.328231334686279
easy,simple,5,6.328231334686279
easy,simple,6,6.464822292327881
easy,simple,7,6.464822292327881
easy,simple,8,6.198436737060547
easy,simple,9,6.198436737060547
easy,simple,10,6.275453090667725
easy,simple,11,6.275453090667725
easy,simple,12,5.894937992095947
easy,simple,13,5.894937992095947
easy,simple,14,5.959348678588867
easy,simple,15,5.959348678588867
easy,simple,16,6.250298500061035
easy,simple,17,6.250298500061035
easy,simple,18,5.533191680908203
easy,simple,19,5.533191680908203
easy,simple,20,5.956218719482422
easy,simple,21,5.956218719482422
easy,simple,22,5.886939525604248
easy,simple,23,5.886939525604248
easy,simple,24,6.39520263671875
easy,simple,25,6.39520263671875
easy,simple,26,6.244447708129883
easy,simple,27,6.244447708129883
easy,simple,28,5.560894012451172
easy,simple,29,5.560894012451172
easy,simple,30,5.794748306274414
easy,simple,31,5.794748306274414
easy,simple,32,6.472263336181641
easy,simple,33,6.472263336181641
easy,simple,34,6.261843681335449
easy,simple,35,6.261843681335449
easy,simple,36,5.954989910125732
easy,simple,37,5.954989910125732
easy,simple,38,6.351058483123779
easy,simple,39,6.351058483123779
easy,simple,40,6.077672958374023
easy,simple,41,6.077672958374023
easy,simple,42,5.825770854949951
easy,simple,43,5.825770854949951
easy,simple,44,6.4563493728637695
easy,simple,45,6.4563493728637695
easy,simple,46,5.980161190032959
easy,simple,47,5.980161190032959
easy,simple,48,5.785098075866699
easy,simple,49,5.785098075866699
easy,simple,50,5.525633335113525
easy,simple,51,5.525633335113525
easy,action+layout,0,6.348479270935059
easy,action+layout,1,6.472516059875488
easy,action+layout,2,5.815410614013672
easy,action+layout,3,5.964754104614258
easy,action+layout,4,6.229535102844238
easy,action+layout,5,5.945180892944336
easy,action+layout,6,5.829252243041992
easy,action+layout,7,6.189868450164795
easy,action+layout,8,6.41133975982666
easy,action+layout,9,6.207131385803223
easy,action+layout,10,5.8329644203186035
easy,action+layout,11,5.972906112670898
easy,action+layout,12,5.763467311859131
easy,action+layout,13,5.830065727233887
easy,action+layout,14,5.920475006103516
easy,action+layout,15,5.656852722167969
easy,action+layout,16,5.721832275390625
easy,action+layout,17,5.679859638214111
easy,action+layout,18,5.820703983306885
easy,action+layout,19,5.536734104156494
easy,action+layout,20,5.920053958892822
easy,action+layout,21,5.930850982666016
easy,action+layout,22,6.289684295654297
easy,action+layout,23,5.948370933532715
easy,action+layout,24,6.434736728668213
easy,action+layout,25,6.418830871582031
easy,action+layout,26,5.934079170227051
easy,action+layout,27,5.955100059509277
easy,action+layout,28,5.580997943878174
easy,action+layout,29,5.598653316497803
easy,action+layout,30,5.826393127441406
easy,action+layout,31,5.735407829284668
easy,action+layout,32,6.180654525756836
easy,action+layout,33,6.484840393066406
easy,action+layout,34,5.749739646911621
easy,action+layout,35,5.943004131317139
easy,action+layout,36,5.7727556228637695
easy,action+layout,37,5.845508575439453
easy,action+layout,38,5.685627460479736
easy,action+layout,39,6.483974456787109
easy,action+layout,40,6.2830400466918945
easy,action+layout,41,6.099996566772461
easy,action+layout,42,5.837708473205566
easy,action+layout,43,5.88343620300293
easy,action+layout,44,6.338658332824707
easy,action+layout,45,6.47288703918457
easy,action+layout,46,6.247995376586914
easy,action+layout,47,6.261125564575195
easy,action+layout,48,6.398111820220947
easy,action+layout,49,6.090888500213623
easy,action+layout,50,5.893044948577881
easy,action+layout,51,6.2909345626831055
easy,action+expression,0,5.902031898498535
easy,action+expression,1,6.114656925201416
easy,action+expression,2,6.09343957901001
easy,action+expression,3,5.883675575256348
easy,action+expression,4,6.272280693054199
easy,action+expression,5,6.284526824951172
easy,action+expression,6,6.374494552612305
easy,action+expression,7,6.417548179626465
easy,action+expression,8,6.065884113311768
easy,action+expression,9,6.331045627593994
easy,action+expression,10,6.2927350997924805
easy,action+expression,11,5.950223922729492
easy,action+expression,12,5.904307842254639
easy,action+expression,13,5.813797950744629
easy,action+expression,14,6.126156806945801
easy,action+expression,15,5.388412952423096
easy,action+expression,16,5.786715984344482
easy,action+expression,17,6.505767822265625
easy,action+expression,18,5.82594108581543
easy,action+expression,19,5.73682165145874
easy,action+expression,20,5.752469062805176
easy,action+expression,21,5.8481035232543945
easy,action+expression,22,6.125997543334961
easy,action+expression,23,5.933953285217285
easy,action+expression,24,6.173998832702637
easy,action+expression,25,6.39414119720459
easy,action+expression,26,6.2367424964904785
easy,action+expression,27,6.1791181564331055
easy,action+expression,28,5.890212059020996
easy,action+expression,29,5.828943252563477
easy,action+expression,30,6.362109184265137
easy,action+expression,31,6.3798041343688965
easy,action+expression,32,6.487260818481445
easy,action+expression,33,6.099505424499512
easy,action+expression,34,5.736257553100586
easy,action+expression,35,6.07438325881958
easy,action+expression,36,6.086769104003906
easy,action+expression,37,5.907787322998047
easy,action+expression,38,6.275739669799805
easy,action+expression,39,6.27592658996582
easy,action+expression,40,6.2105865478515625
easy,action+expression,41,5.67264461517334
easy,action+expression,42,5.862832546234131
easy,action+expression,43,6.154963970184326
easy,action+expression,44,6.432794570922852
easy,action+expression,45,6.289689064025879
